,Identifier,Start date,End date,Number of deaths,Incident,State
747,IBD031349,2024-05-12,2024-05-12,2,Food Poisoning,(FCT) Abuja
748,IBD031330,2024-04-12,2024-04-12,1,Police vs Kidnapper,Rivers
749,IBD031397,2024-04-12,2024-04-12,1,Mother vs Child,Delta
750,IBD031333,2024-04-12,2024-04-12,1,Well Digger Dies,Ogun
751,IBD031324,2024-04-12,2024-04-12,1,Ex- NLC Chairman,Edo
752,IBD031325,2024-04-12,2024-04-12,11,Lakurawa Explosion,Zamfara
753,PAR012705,2024-03-12,2024-03-12,1,Assailants Kill Businessman,Delta
754,IBD031412,2024-03-12,2024-03-12,1,Lady Dies,Ogun
755,IBD031323,2024-03-12,2024-03-12,12,Auto Crash,Yobe
756,IBD031327,2024-02-12,2024-02-12,10,Corpses Found,Imo
757,IBD031314,2024-02-12,2024-02-12,6,Inferno,Osun
758,IBD031316,2024-02-12,2024-02-12,9,Gunmen Kill 9,Sokoto
759,IBD031318,2024-02-12,2024-02-12,1,Kidnappers vs Policeman,Nasarawa
760,IBD031320,2024-01-12,2024-01-12,1,Armed Robbers vs Guard,Ogun
761,IBD031309,2024-01-12,2024-01-12,40,Banditry,Zamfara
762,PAR012724,2024-01-12,2024-01-12,2,Kidnappers Kill 2 Children,Katsina
763,IBD031312,2024-01-12,2024-01-12,1,Security Operative,Ogun
764,IBD031321,2024-01-12,2024-01-12,1,Commercial Rider vs Man,Ogun
765,IBD031326,2024-01-12,2024-01-12,1,Lakurawa Explosion,Zamfara
766,IBD031308,2024-01-12,2024-01-12,1,Kidnappers vs Vigilante,Plateau
767,IBD031389,2024-01-12,2024-01-12,1,Spiritual Cleansing,Niger
768,IBD031319,2024-11-30,2024-11-30,1,Land Dispute,Osun
769,IBD031331,2024-11-29,2024-11-29,1,Community Leader,Delta
770,IBD031310,2024-11-29,2024-11-29,1,Banditry,Zamfara
771,IBD031360,2024-11-29,2024-11-29,1,Domestic Violence,Bayelsa
772,IBD031304,2024-11-29,2024-11-29,2,Gunmen Attack,Abia
773,IBD031348,2024-11-28,2024-11-28,1,Farmer Killed,Oyo
774,IBD031317,2024-11-28,2024-11-28,1,Gunmen vs Pastor,Kogi
775,IBD031315,2024-11-28,2024-11-28,1,Gunmen vs Man,Anambra
776,IBD031303,2024-11-28,2024-11-28,2,Mob vs Cult Members,Plateau
777,IBD031306,2024-11-27,2024-11-27,5,Army vs Boko Haram,Yobe
778,IBD031307,2024-11-27,2024-11-27,1,Police vs Kidnappers,Anambra
779,IBD031305,2024-11-27,2024-11-27,1,Security Operatives Kills One,Delta
780,IBD031357,2024-11-27,2024-11-27,1,Land Grabbers vs Man,Ogun
781,IBD031555,2024-11-27,2024-11-27,1,Domestic Violence,(FCT) Abuja
782,IBD031584,2024-11-27,2024-11-27,1,Assailants vs Herder,(FCT) Abuja
783,IBD031302,2024-11-27,2024-11-27,23,Boat Mishap,Kogi
784,IBD031300,2024-11-27,2024-11-27,1,Suspected Herdsmen Attacks,Ogun
785,IBD031311,2024-11-26,2024-11-26,4,Inferno,Lagos
786,IBD031295,2024-11-25,2024-11-25,1,Customs vs Smugglers,Ogun
787,IBD031313,2024-11-25,2024-11-25,1,Student Mother,Delta
788,IBD031297,2024-11-25,2024-11-25,10,Herdsmen Attack,Benue
789,IBD031298,2024-11-25,2024-11-25,40,Security Operatives vs IPOB/ESN,Imo
790,IBD031286,2024-11-24,2024-11-24,1,Communal Clash,Kogi
791,IBD031281,2024-11-24,2024-11-24,4,Church Stampede,Abia
792,IBD031273,2024-11-24,2024-11-24,17,Herdsmen Attack,Benue
793,IBD031280,2024-11-24,2024-11-24,12,Soldiers vs Boko Haram,Borno
794,IBD031282,2024-11-24,2024-11-24,1,Gunmen vs Vigilantes,Anambra
795,IBD031284,2024-11-24,2024-11-24,8,Army vs IPOB/ESN,Abia
796,IBD031288,2024-11-24,2024-11-24,1,Auto Crash,Ogun
797,IBD031283,2024-11-24,2024-11-24,10,Gunmen Kill 10,Benue
798,IBD031293,2024-11-23,2024-11-23,5,Boat Accident,Delta
799,IBD031277,2024-11-23,2024-11-23,8,Auto Crash,Kaduna
800,IBD031294,2024-11-23,2024-11-23,1,Gunmen vs Driver,Akwa Ibom
801,IBD031274,2024-11-23,2024-11-23,2,Farmer vs Thief,Ondo
802,IBD031291,2024-11-23,2024-11-23,40,NAF vs Boko Haram,Borno
803,IBD031401,2024-11-23,2024-11-23,1,Ritual Killing,Delta
804,IBD031287,2024-11-22,2024-11-22,2,Cult Killing,Delta
805,IBD031289,2024-11-22,2024-11-22,9,Banditry,(FCT) Abuja
806,IBD031272,2024-11-22,2024-11-22,3,Mob vs Revenue Agents,Anambra
807,IBD031278,2024-11-22,2024-11-22,1,Security Operatives vs Robber,Anambra
808,IBD031268,2024-11-21,2024-11-21,1,Baby Found Dead,Niger
809,IBD031299,2024-11-21,2024-11-21,1,Police Inspector,Adamawa
810,IBD031296,2024-11-20,2024-11-20,2,Police vs Robbers,Delta
811,IBD031275,2024-11-20,2024-11-20,13,Banditry,Kaduna
812,IBD031265,2024-11-20,2024-11-20,1,Gunmen vs Lawyer,Benue
813,IBD031260,2024-11-20,2024-11-20,1,Police vs Soldiers,Ebonyi
814,IBD031269,2024-11-20,2024-11-20,1,Auto Crash,Ogun
815,IBD031270,2024-11-20,2024-11-20,2,Vigilantes vs Police,Anambra
816,IBD031263,2024-11-20,2024-11-20,2,Auto Crash,Ogun
817,IBD031409,2024-11-20,2024-11-20,1,Assailants vs Man,Oyo
818,IBD031279,2024-11-20,2024-11-20,1,Vigilantes/Hunders vs Kidnappers,(FCT) Abuja
819,IBD031262,2024-11-19,2024-11-19,2,Gunmen Kill Policemen,Abia
820,IBD031256,2024-11-19,2024-11-19,53,NSCDC vs Boko Haram,Kaduna
821,IBD031301,2024-11-19,2024-11-19,1,Kidnappers Kill Victim,Plateau
822,IBD031292,2024-11-19,2024-11-26,3,Work-Related Violence,Taraba
823,IBD031267,2024-11-19,2024-11-19,1,Classmates vs Girl,Kogi
824,IBD031253,2024-11-19,2024-11-19,32,Boko Haram vs Army,Borno
825,IBD031254,2024-11-19,2024-11-19,1,Banditry,Bauchi
826,IBD031257,2024-11-18,2024-11-18,3,Auto Crash,(FCT) Abuja
827,IBD031276,2024-11-18,2024-11-18,1,Assailants vs Motorcyclist,Kwara
828,IBD031271,2024-11-18,2024-11-18,1,Drowns,Lagos
829,IBD031258,2024-11-18,2024-11-18,1,Corpse Found,(FCT) Abuja
830,IBD031242,2024-11-18,2024-11-18,2,Gunmen Attack,Anambra
831,IBD031266,2024-11-18,2024-11-18,3,Herders vs Farmers,Nasarawa
832,IBD031241,2024-11-18,2024-11-18,3,Gunmen Attack,Anambra
833,IBD031234,2024-11-17,2024-11-17,1,Baby Corpe,Bauchi
834,IBD031248,2024-11-17,2024-11-17,2,Auto Crash,(FCT) Abuja
835,IBD031243,2024-11-17,2024-11-17,1,Gunmen vs Police,Abia
836,IBD031255,2024-11-17,2024-11-17,1,Motorcyclist,Rivers
837,IBD031245,2024-11-17,2024-11-17,1,Ritual Killing Delta,Delta
838,IBD031261,2024-11-17,2024-11-17,1,Mob vs Bike Thief,(FCT) Abuja
839,IBD031246,2024-11-17,2024-11-17,1,Herders vs Farmer,Kano
840,IBD031238,2024-11-16,2024-11-16,1,Man Drowns,Kano
841,IBD031251,2024-11-16,2024-11-16,18,Boko Haram vs Soldiers,Borno
842,IBD031233,2024-11-16,2024-11-16,1,Auto Crash,Lagos
843,IBD031252,2024-11-16,2024-11-16,1,Bandits vs Farmers,Taraba
844,IBD031240,2024-11-16,2024-11-16,1,Corpse Found,Anambra
845,IBD031239,2024-11-16,2024-11-16,1,Man vs Neighbour,Kwara
846,IBD031236,2024-11-15,2024-11-15,50,NAF vs Bandits,Zamfara
847,IBD031244,2024-11-15,2024-11-15,1,Security Operatives Kills One,Niger
848,IBD031230,2024-11-15,2024-11-16,4,Cult Killings,Benue
849,IBD031235,2024-11-15,2024-11-15,1,Police vs Kidnapper,Rivers
850,IBD031322,2024-11-14,2024-11-14,1,Banditary,Kaduna
851,IBD031473,2024-11-14,2024-11-14,1,Police Brutality,Delta
852,IBD031231,2024-11-14,2024-11-14,1,Electricity Vandal,Ebonyi
853,IBD031247,2024-11-14,2024-11-14,1,Cult Killing,Benue
854,IBD031226,2024-11-13,2024-11-13,1,Auto Crash,Osun
855,IBD031219,2024-11-13,2024-11-13,2,Gunmen vs Soldier,Abia
856,IBD031625,2024-11-13,2024-11-13,1,Extra-Judicial Killing,Abia
857,IBD031227,2024-11-13,2024-11-13,7,Vigilantes vs Kidnappers,Edo
858,IBD031215,2024-12-11,2024-12-11,1,Youths vs LASTMA/Police,Lagos
859,IBD031211,2024-12-11,2024-12-11,11,Auto Crash,Jigawa
860,IBD031228,2024-12-11,2024-12-11,3,Auto Crash,Jigawa
861,IBD031250,2024-12-11,2024-12-11,50,NAF vs Terrorists,Kaduna
862,IBD031222,2024-12-11,2024-12-11,1,Banditry,Kaduna
863,IBD031225,2024-12-11,2024-12-11,1,Hoodlums vs Man,Ogun
864,IBD031223,2024-11-11,2024-11-11,1,Assailant vs Man,Ogun
865,IBD031216,2024-11-11,2024-11-11,2,Banditry Katsina,Katsina
866,IBD031213,2024-11-11,2024-11-11,2,Communal Clash,Delta
867,IBD031224,2024-11-11,2024-11-11,3,Banditry,Kaduna
868,IBD031206,2024-11-11,2024-11-11,2,Gunmen Attack,Ogun
869,IBD031217,2024-11-11,2024-11-11,3,Auto Crash,Akwa Ibom
870,IBD031208,2024-11-11,2024-11-11,1,Cult Killing,Edo
871,IBD031220,2024-10-11,2024-10-11,2,Gunmen vs Students,Delta
872,IBD031210,2024-10-11,2024-10-11,2,Auto Crash,Abia
873,IBD031207,2024-10-11,2024-10-11,4,Young Men Drown,Ekiti
874,IBD031203,2024-10-11,2024-10-11,4,Auto Crash,Lagos
875,IBD031209,2024-10-11,2024-10-11,1,Assailants vs Herder,Plateau
876,IBD031204,2024-10-11,2024-10-11,3,Boko Haram Attack,Borno
877,IBD031198,2024-09-11,2024-09-11,15,Auto Crash,Sokoto
878,IBD031188,2024-09-11,2024-09-11,3,Communal Clash,Ebonyi
879,IBD031201,2024-09-11,2024-09-11,3,Soldiers vs Bandits,Kaduna
880,IBD031212,2024-09-11,2024-09-11,13,Miners,Plateau
881,IBD031193,2024-09-11,2024-09-11,14,Auto Crash,Katsina
882,IBD031199,2024-09-11,2024-09-11,1,Mob vs Burglar,Rivers
883,IBD031237,2024-09-11,2024-09-11,3,Mob vs Bandits,Kaduna
884,IBD031197,2024-08-11,2024-08-11,2,Bandits vs Security Operatives,Katsina
885,IBD031202,2024-08-11,2024-08-11,1,Auto Crash,Ekiti
886,IBD031192,2024-08-11,2024-08-11,1,Domestic Violence,Adamawa
887,IBD031557,2024-08-11,2024-08-11,1,Assaliants va Man,Ebonyi
888,IBD031186,2024-08-11,2024-08-11,70,NAF vs ISWAP,Borno
889,IBD031195,2024-08-11,2024-08-11,16,Lakurawa Kills 15,Kebbi
890,IBD031190,2024-08-11,2024-08-11,50,NAF vs Terrorists,Zamfara
891,IBD031214,2024-07-11,2024-07-11,1,Assailants vs Man,Kaduna
892,IBD031221,2024-07-11,2024-07-11,1,Police Kill 1,(FCT) Abuja
893,IBD031176,2024-07-11,2024-07-11,1,Auto Crash,Lagos
894,IBD031177,2024-07-11,2024-07-11,1,Cult Attack,Rivers
895,IBD031205,2024-07-11,2024-07-11,1,Robber vs Woman,Adamawa
896,IBD031187,2024-07-11,2024-07-11,1,Security Operatives Kill 1,Plateau
897,IBD031191,2024-07-11,2024-07-11,1,Gunmen Kidnap Chinese Expatriates,Cross River
898,IBD031167,2024-06-11,2024-06-11,1,Mob vs Robber,Benue
899,IBD031185,2024-06-11,2024-06-11,1,Man vs Houseboy,Enugu
900,IBD031218,2024-06-11,2024-06-11,2,Medical Quackery,Ondo
901,IBD031183,2024-06-11,2024-06-11,3,Fulani Militia Attack,Plateau
902,IBD031194,2024-06-11,2024-06-11,1,Ritual Killing,Imo
903,IBD031180,2024-06-11,2024-06-11,10,Vigilantes/Hunters vs Kidnappers,Nasarawa
904,IBD031182,2024-06-11,2024-06-11,3,Gunmen Kill 3,Plateau
905,IBD031166,2024-06-11,2024-06-11,4,Security Operatives vs Gunmen,Enugu
906,IBD031159,2024-05-11,2024-05-11,2,Bomb Explosion,Imo
907,IBD031163,2024-05-11,2024-05-11,10,Bandits vs Farmers,Niger
908,IBD031160,2024-05-11,2024-05-11,1,Rape Victim,Bauchi
909,IBD031196,2024-05-11,2024-05-11,1,Policemen vs Student,Kwara
910,IBD031172,2024-05-11,2024-05-11,2,Banditry,Kaduna
911,IBD031181,2024-04-11,2024-04-11,3,Herders vs Farmers,Edo
912,IBD031156,2024-04-11,2024-04-11,1,Building Collapse,Rivers
913,IBD031165,2024-04-11,2024-04-11,1,Dog vs Security Guard,Lagos
914,IBD031290,2024-04-11,2024-04-11,2,Artisans,Edo
915,IBD031157,2024-04-11,2024-05-11,4,Cult Clash,Benue
916,IBD031184,2024-04-11,2024-04-11,2,Auto Crash,Jigawa
917,IBD031158,2024-04-11,2024-04-11,5,Army vs Bandits,Plateau
918,IBD031179,2024-04-11,2024-04-11,1,Assailant vs Motorcyclist,Kwara
919,IBD031143,2024-03-11,2024-03-11,1,Man vs Scavenger,Enugu
920,IBD031152,2024-03-11,2024-03-11,1,Cult Clash,Lagos
921,IBD031148,2024-03-11,2024-03-11,1,Gunmen Kill Man,Plateau
922,IBD031151,2024-03-11,2024-03-11,1,Gunmen Kill 1,Bauchi
923,IBD031155,2024-03-11,2024-03-11,25,Army vs Boko Haram,Borno
924,IBD031150,2024-03-11,2024-03-11,1,Electrocution,Gombe
925,IBD031147,2024-03-11,2024-03-11,1,Gunmen Attack,Niger
926,IBD031161,2024-03-11,2024-03-11,24,Army vs Bandits,Borno
927,IBD031135,2024-03-11,2024-03-11,1,Auto Crash,Lagos
928,IBD031142,2024-03-11,2024-03-11,1,Auto Crash,Lagos
929,IBD031134,2024-02-11,2024-02-11,1,Scavengers vs Man,(FCT) Abuja
930,IBD031138,2024-02-11,2024-02-11,7,Boko Haram Attack,Borno
931,IBD031140,2024-02-11,2024-02-11,1,Man vs Youth,Abia
932,IBD031154,2024-02-11,2024-02-11,1,Man Drowns,Kano
933,IBD031139,2024-02-11,2024-02-11,2,Auto Crash,Ogun
934,IBD031170,2024-02-11,2024-02-11,1,Hoodlums vs Cyclist,(FCT) Abuja
935,IBD031162,2024-02-11,2024-02-11,6,Auto Crash,Niger
936,IBD031137,2024-02-11,2024-02-11,1,Extrajudicial Killing,Anambra
937,IBD031132,2024-02-11,2024-02-11,3,Gunmen vs Farmer,Ebonyi
938,IBD031133,2024-02-11,2024-02-11,3,Police vs Soldier,Nasarawa
939,IBD031126,2024-02-11,2024-02-11,6,Communal Clash,Benue
940,IBD031171,2024-01-11,2024-01-11,1,Man vs KEDCO Staff,Kano
941,IBD031200,2024-01-11,2024-08-11,87,NAF vs Boko Haram/ISWAP,Borno
942,IBD031125,2024-01-11,2024-02-11,6,Herdsmen Attack,Benue
943,IBD031144,2024-01-11,2024-01-11,40,Army vs Bandits,Niger
944,IBD031420,2024-01-11,2024-11-30,13,Auto Crash,Edo
945,IBD031136,2024-01-11,2024-01-11,1,Domestic Violence,Ogun
946,IBD031149,2024-10-31,2024-10-31,1,Domestic Violence,Osun
947,IBD031117,2024-10-31,2024-10-31,13,Building Collapse,Oyo
948,IBD031124,2024-10-31,2024-10-31,1,Auto Crash,Kwara
949,IBD031130,2024-10-31,2024-10-31,6,Police vs Bandits,Bauchi
950,IBD031264,2024-10-31,2024-10-31,3,Gunmen Attack,Anambra
951,IBD031128,2024-10-31,2024-10-31,13,Terrorists vs Vigilantes,Niger
952,IBD031123,2024-10-30,2024-10-30,1,Cult War,Edo
953,IBD031129,2024-10-30,2024-10-30,1,Domestic Violence,Oyo
954,IBD031120,2024-10-30,2024-10-30,3,Gunmen Kills 3,Abia
955,IBD031141,2024-10-30,2024-10-30,2,Gunmen Kill 2,Plateau
956,IBD031116,2024-10-30,2024-10-30,16,Herders vs Farmers,Benue
957,IBD031118,2024-10-30,2024-10-30,4,Vigilantes vs Bandits,Plateau
958,IBD031119,2024-10-30,2024-10-30,5,Food Poisoning,Edo
959,IBD031112,2024-10-29,2024-10-29,1,Mob vs Armed Robber,(FCT) Abuja
960,IBD031111,2024-10-29,2024-10-29,2,Auto Crash,Niger
961,IBD031131,2024-10-29,2024-10-29,1,Police vs IPOB/ESN,Imo
962,IBD031108,2024-10-29,2024-10-29,1,Assailants vs Woman,Delta
963,IBD031113,2024-10-29,2024-10-29,1,Hoodlums vs Man,Ebonyi
964,IBD031831,2024-10-28,2024-10-28,1,Assailants vs Man,Anambra
965,IBD031110,2024-10-28,2024-10-28,1,Man Murdered,Ogun
966,IBD031107,2024-10-28,2024-10-28,1,Man vs Woman,Ondo
967,IBD031164,2024-10-28,2024-10-28,2,Police vs Kidnappers,Delta
968,IBD031105,2024-10-28,2024-10-28,1,Domestic Violence,Kano
969,IBD031099,2024-10-28,2024-10-28,4,Bandits vs Farmers,Sokoto
970,IBD031106,2024-10-27,2024-10-27,8,Cult Killing,Edo
971,IBD031102,2024-10-27,2024-10-27,1,Gunmen vs Drummer,Edo
972,IBD031098,2024-10-27,2024-10-27,1,Domestic Violence,Benue
973,IBD031095,2024-10-27,2024-10-27,7,Herders vs Farmers,Adamawa
974,IBD031169,2024-10-26,2024-10-26,13,Mining Pit Collapse,Adamawa
975,IBD031086,2024-10-26,2024-10-26,1,Inferno,Ogun
976,IBD031189,2024-10-26,2024-10-26,13,Mine Collapse,Taraba
977,IBD031100,2024-10-26,2024-10-26,1,Gunmen vs Man,Rivers
978,IBD031096,2024-10-26,2024-10-26,1,Auto Crash,Kwara
979,IBD031094,2024-10-26,2024-10-26,1,Auto Crash,Lagos
980,IBD031091,2024-10-26,2024-10-26,2,Auto Crash,Lagos
981,IBD031082,2024-10-25,2024-10-25,1,Auto Crash,Lagos
982,IBD031087,2024-10-25,2024-10-25,1,Policeman Kill Musician,Enugu
983,IBD031090,2024-10-25,2024-10-25,1,Teacher vs Student,Ogun
984,IBD031080,2024-10-25,2024-10-25,1,Naval Officer vs Colleague,Zamfara
985,IBD031101,2024-10-25,2024-10-25,3,Soldiers vs Bandits,Kaduna
986,IBD031081,2024-10-25,2024-10-25,5,Auto Crash,Ebonyi
987,IBD031088,2024-10-25,2024-10-25,13,Auto Crash,Kaduna
988,IBD031103,2024-10-25,2024-10-25,1,Hunter,Ogun
989,IBD031084,2024-10-25,2024-10-25,1,Cult Killing ,Akwa Ibom
990,IBD031145,2024-10-25,2024-10-25,1,Witchcraft,Bauchi
991,IBD031093,2024-10-25,2024-10-25,7,Build Collapse,(FCT) Abuja
992,IBD031097,2024-10-25,2024-10-25,43,NAF vs Terrorists,Borno
993,IBD031076,2024-10-24,2024-10-24,8,Cult Killing,Anambra
994,IBD031092,2024-10-24,2024-10-24,1,Assailant vs Lady,Delta
995,IBD031070,2024-10-23,2024-10-23,1,Auto Crash,Lagos
996,IBD031074,2024-10-23,2024-10-23,8,Helicopter Crash,Rivers
997,IBD031077,2024-10-23,2024-10-23,1,Auto Crash,(FCT) Abuja
998,IBD031078,2024-10-23,2024-10-23,1,Farmers vs Herders,Kebbi
999,IBD031073,2024-10-22,2024-10-22,1,Auto Crash,Ogun
1001,IBD031065,2024-10-21,2024-10-21,19,Auto Crash,Plateau
1002,IBD031085,2024-10-21,2024-10-21,1,Domestic Violence,Gombe
1003,IBD031071,2024-10-21,2024-10-21,28,Army vs IPOB/ESN,Anambra
1004,IBD031059,2024-10-21,2024-10-21,2,Cult Clash,Rivers
1005,IBD031064,2024-10-21,2024-10-21,2,IPOB/ESN Kill 2,Abia
1006,IBD031168,2024-10-21,2024-10-21,2,Police vs Armed Robbers,(FCT) Abuja
1007,IBD031350,2024-10-21,2024-10-21,5,Bandits vs Army,Zamfara
1008,IBD031051,2024-10-20,2024-10-20,2,Bandits Kill 2,Zamfara
1009,IBD031042,2024-10-20,2024-10-20,20,Cult Clash,Anambra
1010,IBD031049,2024-10-20,2024-10-20,1,Vigilante Kill Man,Anambra
1011,IBD031075,2024-10-20,2024-10-20,1,Securitymen Kill Man,Kwara
1012,IBD031057,2024-10-20,2024-10-20,9,Police vs Kidnappers,(FCT) Abuja
1013,IBD031060,2024-10-20,2024-10-20,1,Woman Found Dead,(FCT) Abuja
1014,IBD031052,2024-10-20,2024-10-20,5,Cult Killing,Rivers
1015,IBD031058,2024-10-20,2024-10-20,2,Bandits Kill Villagers,Niger
1016,IBD031053,2024-10-19,2024-10-19,2,Bandits Attack,Katsina
1017,IBD031054,2024-10-19,2024-10-19,1,Ritual Killing,Enugu
1018,IBD031079,2024-10-19,2024-10-19,1,Communal Clash,Edo
1019,IBD031045,2024-10-19,2024-10-19,2,Gas Explosion,Ebonyi
1020,IBD031046,2024-10-19,2024-10-19,2,Motorcyclists vs Assistant Superintendent,Lagos
1021,IBD031055,2024-10-18,2024-10-18,2,Bandits Kill 2,Katsina
1022,IBD031048,2024-10-18,2024-10-18,4,Auto Crash,Taraba
1023,IBD031089,2024-10-18,2024-10-18,1,Kidnapper Kills One,Gombe
1024,IBD031044,2024-10-18,2024-10-18,2,Mob vs Motorcycle Thief,Delta
1025,IBD031047,2024-10-18,2024-10-18,5,Herdsmen Kill 5,Benue
1026,IBD031069,2024-10-18,2024-10-18,1,Pregnant Woman,Imo
1027,IBD031056,2024-10-18,2024-10-18,1,Assailants vs School Principal,(FCT) Abuja
1028,IBD031063,2024-10-17,2024-10-17,1,Assailants vs Legislative Aide,(FCT) Abuja
1029,IBD031041,2024-10-17,2024-10-17,2,Police vs Kidnappers,Enugu
1030,IBD031043,2024-10-17,2024-10-17,2,Gunmen vs Police,Edo
1031,IBD031034,2024-10-17,2024-10-17,1,Thunder Strike,Kogi
1032,IBD031050,2024-10-17,2024-10-17,2,Bandits vs Herders,Kaduna
1033,IBD031033,2024-10-17,2024-10-17,1,Auto Crash,Lagos
1034,IBD031038,2024-10-17,2024-10-17,2,Auto Crash,Kogi
1035,IBD031032,2024-10-16,2024-10-16,2,Auto Crash,Ogun
1036,IBD031121,2024-10-16,2024-10-16,1,Brothers vs Neighbour,Jigawa
1037,IBD031028,2024-10-16,2024-10-16,2,Boko Haram Attack,Borno
1038,IBD031025,2024-10-16,2024-10-16,1,Police vs Robbers,Imo
1039,IBD031104,2024-10-16,2024-10-16,1,One Killed,Oyo
1040,IBD031026,2024-10-16,2024-10-16,1,Assailants vs Graduate,Delta
1041,IBD031066,2024-10-16,2024-10-16,1,Auto Crash/Inferno,Ogun
1042,IBD031040,2024-10-16,2024-10-16,1,Security Operatives vs Man,Lagos
1043,IBD031035,2024-10-16,2024-10-16,1,Electrocution,Ogun
1044,IBD031022,2024-10-15,2024-10-15,1,Assailants vs Man,Oyo
1045,IBD031037,2024-10-15,2024-10-15,1,Electrocution,(FCT) Abuja
1046,IBD031024,2024-10-15,2024-10-15,186,Petrol Tanker Explosion,Jigawa
1047,IBD031029,2024-10-15,2024-10-15,1,Sex Romp,Niger
1048,IBD031061,2024-10-14,2024-10-14,1,Train Crushes Man,Lagos
1049,IBD031017,2024-10-14,2024-10-14,1,Domestic Violence,Lagos
1050,IBD031021,2024-10-14,2024-10-14,5,Gunmen Attack,Plateau
1051,IBD031019,2024-10-14,2024-10-14,2,Army vs Bandits,Kaduna
1052,IBD031030,2024-10-14,2024-10-14,1,Hoodlums vs Motorcycle Thief,(FCT) Abuja
1053,IBD031011,2024-10-14,2024-10-14,8,Auto Crash,Oyo
1054,PAR012672,2024-10-13,2024-10-13,3,Auto Crash,Lagos
1055,IBD031016,2024-10-13,2024-10-13,3,Auto Crash,Lagos
1056,IBD031014,2024-10-13,2024-10-13,4,Inferno,Lagos
1057,IBD031006,2024-10-13,2024-10-13,1,Petty Trader,Nasarawa
1058,IBD031012,2024-10-13,2024-10-13,2,Gunmen vs Police Officers,Delta
1059,IBD031015,2024-12-10,2024-12-10,2,Building Collapse,Lagos
1060,IBD030995,2024-12-10,2024-12-10,1,Auto Crash,Kaduna
1061,IBD030972,2024-12-10,2024-12-10,1,Gunmen vs Man,Edo
1062,IBD031031,2024-12-10,2024-12-10,1,Auto Crash,(FCT) Abuja
1063,IBD018052,2024-12-10,2024-12-10,1,Cultists vs Councillorship Candidate,Ogun
1064,IBD031001,2024-12-10,2024-12-10,1,Gunmen Kill 1,Kwara
1065,IBD031004,2024-12-10,2024-12-10,1,Train Accident,Lagos
1066,IBD031000,2024-12-10,2024-12-10,1,Assailant vs Tricycle Rider,Delta
1067,IBD031003,2024-11-10,2024-11-10,1,Sex Worker,Delta
1068,IBD031005,2024-11-10,2024-11-10,4,Gunmen vs Miners,Plateau
1069,IBD031013,2024-11-10,2024-11-10,1,Mysterious Death,Lagos
1070,IBD030997,2024-11-10,2024-11-10,1,Man Drowns,Lagos
1071,IBD031008,2024-10-10,2024-10-10,1,Assailants vs Herders,Plateau
1072,IBD031007,2024-10-10,2024-10-10,1,Corpse Found,Kwara
1073,IBD030999,2024-10-10,2024-10-10,3,Auto Crash,Ogun
1074,IBD031010,2024-10-10,2024-10-10,1,Political Violence,Plateau
1075,IBD031009,2024-10-10,2024-10-10,1,Assailants vs Herders,Plateau
1076,IBD031018,2024-09-10,2024-09-10,1,Mob vs Bike Thief,(FCT) Abuja
1077,IBD031115,2024-09-10,2024-10-16,5,Sankebites,Niger
1078,IBD031114,2024-09-10,2024-09-10,1,Security Operatives vs Man,Anambra
1079,IBD030985,2024-09-10,2024-09-10,1,Soldier vs Policeman,Lagos
1080,IBD030976,2024-09-10,2024-09-10,4,Auto Crash,Kaduna
1081,IBD030993,2024-09-10,2024-09-10,4,Fulani Herdsmen Attack,Benue
1082,IBD030982,2024-09-10,2024-09-10,1,Student Killed,Ondo
1083,IBD030984,2024-09-10,2024-09-10,1,Man vs Friend,Ondo
1084,IBD031020,2024-09-10,2024-09-10,3,Police vs Kidnappers,Niger
1085,IBD030959,2024-08-10,2024-08-10,1,Hoodlums Kill Man,Niger
1086,IBD031423,2024-08-10,2024-08-10,1,Ritual Killing,Delta
1087,IBD030996,2024-08-10,2024-08-10,40,Gunmen vs Security Personnel,Imo
1088,IBD030974,2024-08-10,2024-08-10,1,Boko Haram Attack,Borno
1089,IBD030973,2024-08-10,2024-08-10,1,Farmer vs Herder,(FCT) Abuja
1090,IBD030998,2024-08-10,2024-08-10,1,Domestic Valence,Jigawa
1091,IBD030979,2024-08-10,2024-08-10,1,Inferno,Delta
1092,IBD031027,2024-08-10,2024-08-10,3,Gunmen vs SuperSports Crew,Anambra
1093,IBD030942,2024-07-10,2024-07-10,3,Political Violence,Rivers
1094,IBD030946,2024-07-10,2024-07-10,1,Political Crisis,Rivers
1095,IBD030943,2024-07-10,2024-07-10,1,Political Violence,Rivers
1096,IBD030963,2024-07-10,2024-07-10,5,Boko Haram Attack,Borno
1097,IBD030971,2024-07-10,2024-07-10,1,Bouncer vs Man,Lagos
1098,IBD030978,2024-07-10,2024-07-10,9,Bandits vs Vigilante,Zamfara
1099,IBD030956,2024-07-10,2024-09-10,11,Banditry,Katsina
1100,IBD030934,2024-07-10,2024-07-10,1,Prostitute vs Customer,Lagos
1101,PAR012675,2024-07-10,2024-07-10,1,Kidnap Victim,Rivers
1102,IBD030957,2024-07-10,2024-07-10,1,Bandit vs District Head,Kebbi
1103,IBD030970,2024-07-10,2024-07-10,3,Gunmen Attack,Plateau
1104,IBD030944,2024-07-10,2024-07-10,1,Political Crisis,Rivers
1105,IBD031083,2024-07-10,2024-07-10,1,Domestic Violence,Ondo
