Identifier,Title,Start date,End date,Number of deaths
IBD030258,"Youths vs Students, Bayelsa",15/07/2024,15/07/2024,1
IBD030252,"Auto Crash, Jigawa",15/07/2024,15/07/2024,14
IBD030223,"Cult Clash, Edo",15/07/2024,15/07/2024,1
IBD030259,"Assailants vs Activist, Edo",14/07/2024,14/07/2024,1
IBD030247,"Herders Attack, Benue",14/07/2024,14/07/2024,11
IBD030249,"Auto Crash, FCT (Abuja)",14/07/2024,14/07/2024,2
IBD030251,"Banditry, Zamfara",14/07/2024,14/07/2024,13
IBD030264,"Piracy, Rivers (Offshore)",14/07/2024,14/07/2024,1
IBD030248,"Herders Attack, Benue",14/07/2024,14/07/2024,1
IBD030245,"Man vs Neighbour's Wife, Edo",13/07/2024,13/07/2024,1
IBD030298,"Banditry, Zamfara",13/07/2024,13/07/2024,1
IBD030243,"Robbers vs Police, FCT (Abuja)",13/07/2024,13/07/2024,1
IBD030244,"Maize Farmer, Ogun",13/07/2024,13/07/2024,1
IBD030238,"Kidnap Victims, Anambra",13/07/2024,13/07/2024,1
IBD030246,"Auto Crash, Ogun",13/07/2024,13/07/2024,2
IBD030263,"Hoodlums vs NDLEA Official, FCT (Abuja)",13/07/2024,13/07/2024,1
IBD030220,"Smugglers vs Customs Officer, Jigawa",12/07/2024,12/07/2024,1
IBD030233,"NAF VS Terrorists, Kaduna",12/07/2024,12/07/2024,20
IBD030216,"Witchcraft Suspect, Kwara",12/07/2024,12/07/2024,1
IBD030235,"Armed Robber, Cross River",12/07/2024,12/07/2024,1
IBD030277,"Hoodlums vs Vigilante, Lagos",12/07/2024,12/07/2024,1
IBD030296,"Banditry, Zamfara",12/07/2024,12/07/2024,11
IBD030178,"Missing Student, Enugu",12/07/2024,12/07/2024,1
IBD030189,"Robbers Kill Security Guard, Akwa Ibom",12/07/2024,12/07/2024,1
IBD030439,"Cult Killing, Anambra",12/07/2024,12/07/2024,3
IBD030221,"Building Collapse, Plateau",12/07/2024,12/07/2024,19
IBD030255,Building Collapse FCT (Abuja),12/07/2024,13/07/2024,1
IBD030232,"NAF VS Terrorists, Kaduna",12/07/2024,12/07/2024,20
IBD030312,"Man vs Commercial Motorcyclist, Akwa Ibom",11/07/2024,11/07/2024,1
IBD030222,"Dead Corpse, Lagos",11/07/2024,11/07/2024,1
IBD030241,"Guardian vs Boy, Lagos",11/07/2024,11/07/2024,1
IBD030214,"Miners, Niger",10/07/2024,10/07/2024,12
IBD030434,"Cult Clash, Lagos",10/07/2024,10/07/2024,1
IBD030213,"Gunmen vs Vigilante, Rivers",10/07/2024,10/07/2024,1
IBD030212,"Assailants vs Student, Enugu",10/07/2024,10/07/2024,1
IBD030262,"Gunrunners vs Police, Plateau",10/07/2024,10/07/2024,1
IBD030217,"Bandits Kill Farmers, Kaduna",10/07/2024,10/07/2024,2
IBD030250,"Gunmen Attack, Benue",10/07/2024,11/07/2024,5
IBD030324,"Man vs NDLEA Officer, Kano",10/07/2024,10/07/2024,1
IBD030205,"Herdsmen vs Farmer, Delta",09/07/2024,09/07/2024,1
IBD030209,"Herdsmen Attack, Benue",09/07/2024,09/07/2024,12
IBD030208,"Army vs Terrorist, Katsina",09/07/2024,09/07/2024,1
IBD030330,"Ritual Killing, Osun",09/07/2024,09/07/2024,1
IBD030276,"Man vs Girlfriend, Lagos",09/07/2024,09/07/2024,1
IBD030303,"3 Men Kill Labourer, Kwara",09/07/2024,09/07/2024,1
IBD030199,"Auto Crash, Anambra",09/07/2024,09/07/2024,5
IBD030206,"Man vs Mother, Delta",09/07/2024,09/07/2024,1
IBD030180,"Downpour Kills 4, Edo",08/07/2024,08/07/2024,4
IBD030201,"Police vs Kidnapper, Delta",08/07/2024,08/07/2024,1
IBD030203,"Assailant vs Man, Edo",08/07/2024,08/07/2024,1
IBD030242,"Soldiers vs Boko Haram, Borno",08/07/2024,08/07/2024,2
IBD030253,"Auto Crash, Ogun",08/07/2024,08/07/2024,2
IBD030198,"Banditry, Plateau",08/07/2024,08/07/2024,3
IBD030294,"Banditry, Zamfara",08/07/2024,08/07/2024,1
IBD030191,"Auto Crash, Lagos",08/07/2024,08/07/2024,1
IBD030185,"Gunmen Kill 4, Imo",08/07/2024,08/07/2024,4
IBD030207,"Army vs Kidnapper, Taraba",08/07/2024,08/07/2024,1
IBD030182,"Cult Killing, Akwa Ibom",07/07/2024,07/07/2024,1
IBD030215,Vigilantes vs Bandits,07/07/2024,07/07/2024,2
IBD030186,"Cult Killing, Anambra",07/07/2024,07/07/2024,1
IBD030183,"Boat Mishap, Jigawa",07/07/2024,07/07/2024,2
IBD030204,"Bandits Kill 2, Kaduna",07/07/2024,07/07/2024,3
IBD030290,"Man vs Online Girlfriend, Oyo",07/07/2024,07/07/2024,1
IBD030435,"Cult Clash, Lagos",07/07/2024,07/07/2024,9
IBD030181,"Security Operatives vs Man, Abia",07/07/2024,07/07/2024,1
IBD030184,"Cult Killing, Anambra",07/07/2024,07/07/2024,1
IBD030202,"Cult Clash, Oyo",07/07/2024,07/07/2024,1
IBD030438,"Cult Clash, Rivers",07/07/2024,07/07/2024,7
IBD030289,"IPOB/ESN vs Vigilante, Imo",07/07/2024,07/07/2024,4
IBD030179,"Cult Killing, Lagos",07/07/2024,07/07/2024,2
IBD030197,"Hoodlums vs Man, Edo",07/07/2024,07/07/2024,6
IBD030195,"Tractor Driver, Yobe",07/07/2024,07/07/2024,1
IBD030187,"Cult Killing, Imo",07/07/2024,07/07/2024,4
IBD030190,"Man kills Woman, Bauchi",07/07/2024,07/07/2024,1
IBD030436,"Cult Killing, Lagos",06/07/2024,06/07/2024,3
IBD030175,"Engine Roller Kill Worker, Ogun",06/07/2024,06/07/2024,1
IBD030177,"Youths vs Kidnappers, Kwara",06/07/2024,06/07/2024,2
IBD030170,"Gas Explosion, Ogun",06/07/2024,06/07/2024,2
IBD030176,"Gunmen Kill 3, Benue",06/07/2024,06/07/2024,3
IBD030268,"Hoodlums vs Man, Lagos",06/07/2024,06/07/2024,1
IBD030174,"Extra Judicial Killing, Ogun",06/07/2024,06/07/2024,1
IBD030194,"Domestic Violence, FCT (Abuja)",06/07/2024,06/07/2024,1
IBD030167,"Robbers Kill Woman, Ekiti",06/07/2024,06/07/2024,1
IBD030171,"Boko Haram vs Army, Borno",06/07/2024,06/07/2024,11
IBD030192,"Banditry, Katsina",06/07/2024,06/07/2024,1
IBD030218,"Huter vs Trader, Kwara",05/07/2024,05/07/2024,1
IBD030270,"Man vs Apprentice, Lagos",05/07/2024,05/07/2024,1
IBD030173,"Police vs Kidnappers, Delta",05/07/2024,05/07/2024,1
IBD030166,"Man vs Friend, Osun",04/07/2024,04/07/2024,2
IBD030165,"Kidnappers vs Police, Lagos",04/07/2024,04/07/2024,9
IBD030196,"Corpse Found, FCT (Abuja)",04/07/2024,04/07/2024,1
IBD030155,"Cultists vs Final Year Student, Ogun",04/07/2024,04/07/2024,1
IBD030292,"Robbers vs Man, Oyo",04/07/2024,04/07/2024,2
IBD030200,"Bandits vs Army, Kaduna",04/07/2024,04/07/2024,5
IBD030162,"Building Collapse, Anambra",04/07/2024,04/07/2024,8
IBD030159,"Student Stabs Colleague, Gombe",03/07/2024,03/07/2024,1
IBD030149,"Flooding, Lagos",03/07/2024,03/07/2024,1
IBD030144,"Man vs Father, Delta",03/07/2024,03/07/2024,1
IBD030156,"Building Collapse, Lagos",03/07/2024,03/07/2024,1
IBD030164,"Assailants vs Ex-convict, Ogun",03/07/2024,03/07/2024,1
IBD030150,"Community Leader, Delta",03/07/2024,03/07/2024,1
IBD030145,"Auto Crash, Oyo",03/07/2024,03/07/2024,1
IBD030157,"Army vs Boko Haram, Borno",03/07/2024,03/07/2024,10
IBD030940,"Assailant vs Lady, Ogun",03/07/2024,03/07/2024,1
IBD030158,"Lightening, delta",02/07/2024,02/07/2024,2
IBD030147,"Farmers vs Herders, Jigawa",02/07/2024,02/07/2024,2
IBD030141,"Banditry, Kaduna",02/07/2024,02/07/2024,1
IBD030224,"Domestic Violence, Kebbi",02/07/2024,02/07/2024,1
IBD030139,"Kidnap Victim, Kaduna",02/07/2024,02/07/2024,1
IBD030135,"Bandits Kill Lecturer, Katsina",02/07/2024,02/07/2024,1
IBD030161,"Soldiers Kill 2 Terrorists, Kaduna",02/07/2024,02/07/2024,2
IBD030153,"Fulani Herders Attack, Benue",01/07/2024,01/07/2024,2
IBD030136,"Work-Related Violence, Oyo",01/07/2024,01/07/2024,1
IBD030143,"Cult Clash, Benue",01/07/2024,01/07/2024,9
IBD030133,"Banditry, Kaduna",01/07/2024,01/07/2024,4
IBD030134,"Auto Crash, Ogun",01/07/2024,01/07/2024,2
IBD030123,"Auto Crash, Kano",01/07/2024,01/07/2024,25
IBD030154,"Gunmen Attack, Benue",01/07/2024,01/07/2024,1
IBD030138,"Kidnap Victim, Katsina",01/07/2024,01/07/2024,5
IBD030152,"Gunmen Attack, Benue",01/07/2024,01/07/2024,3
IBD030118,"Auto Crash, FCT (Abuja)",30/06/2024,30/06/2024,11
IBD030114,"Boy Kill Friend, Niger",30/06/2024,30/06/2024,1
IBD030146,"Police vs Kidnappers, Ogun",30/06/2024,30/06/2024,2
IBD030113,"Bandits vs Policemen, Katsina",30/06/2024,30/06/2024,5
IBD031964,"Farmer vs Herder, Adamawa",30/06/2024,30/06/2024,1
IBD030129,"Auto Crash, Ogun",30/06/2024,30/06/2024,1
IBD030119,"Flooding, Yobe",30/06/2024,30/06/2024,3
IBD030127,"Police vs Bandits, Benue",30/06/2024,30/06/2024,2
IBD030115,"Auto Crash, Niger",30/06/2024,30/06/2024,2
IBD030116,"Police vs Kidnappers, Akwa Ibom",30/06/2024,30/06/2024,2
IBD030137,"Auto Crash, Borno",30/06/2024,30/06/2024,1
IBD030121,"Banditry, FCT (Abuja)",30/06/2024,30/06/2024,1
IBD030111,"Drug Addict, Oyo",29/06/2024,29/06/2024,1
IBD030117,"Farmers vs Herders, Jigawa",29/06/2024,29/06/2024,8
IBD030122,"NAF vs Terrorists, Niger",29/06/2024,29/06/2024,10
IBD030108,"Boko Haram Suicide Attacks, Borno",29/06/2024,29/06/2024,32
IBD030109,"Auto Crash, Lagos",29/06/2024,29/06/2024,1
IBD030120,"NAF vs Terrorists, Niger",29/06/2024,29/06/2024,40
IBD030112,"Corpse Found, Lagos",29/06/2024,29/06/2024,1
IBD030110,"Hoodlums Attack, Kano",29/06/2024,29/06/2024,2
IBD030172,"Woman Murdered, Ogun",29/06/2024,29/06/2024,1
IBD030105,"Electrocution, Enugu",28/06/2024,28/06/2024,1
IBD030283,"DSS vs Kidnapper, Kaduna",28/06/2024,28/06/2024,1
IBD030126,"Security Operatives Kill Herder, Plateau",28/06/2024,28/06/2024,1
IBD029930,"Gunmen vs Policemen, Abia",28/06/2024,28/06/2024,2
IBD030131,"Banditry, Katsina",28/06/2024,28/06/2024,11
IBD030102,"Auto Crash, Kano",28/06/2024,28/06/2024,14
IBD030107,"Building Collapse, Kano",27/06/2024,27/06/2024,7
IBD030101,"Troops Kill Terrorists, Sokoto",27/06/2024,27/06/2024,5
IBD030106,"Gunmen Attack, Taraba",27/06/2024,27/06/2024,3
IBD030104,"Gunmen vs Traders, Imo",27/06/2024,27/06/2024,6
IBD030287,"Mob kill Mentally Challenged Man, Oyo",27/06/2024,27/06/2024,1
IBD030128,"Electrocution, Ogun",27/06/2024,27/06/2024,1
IBD030125,"Farmers vs Herders, Ogun",27/06/2024,27/06/2024,1
IBD030098,"Police vs Gunmen, Ebonyi",26/06/2024,26/06/2024,5
IBD030099,"Ritual Killing, Ogun",26/06/2024,26/06/2024,1
IBD030211,"Ex-boyfriend vs Lady, Kano",26/06/2024,26/06/2024,1
IBD030089,"Explosion, Rivers",25/06/2024,25/06/2024,1
IBD030091,"Students Drown, Kaduna",25/06/2024,25/06/2024,7
IBD030094,"Bandits vs Vigilantes, Kaduna",25/06/2024,25/06/2024,3
IBD030103,"Assailants Kill 2, Bauchi",25/06/2024,25/06/2024,2
IBD030096,"Wife vs Husband, Yobe",25/06/2024,25/06/2024,1
IBD030085,"Rape Victim, Ebonyi",25/06/2024,25/06/2024,1
IBD030084,"Communal Clash, Nasarawa",25/06/2024,25/06/2024,6
IBD030076,"Bandits Kill Lecture, Zamfara",24/06/2024,24/06/2024,1
IBD030077,"Flood Incident, Ogun",24/06/2024,24/06/2024,1
IBD029957,"Auto Crash, Abia",24/06/2024,24/06/2024,1
IBD030092,"Mining Pit Collapse, Bauchi",24/06/2024,24/06/2024,1
IBD030093,"Auto Crash, Ogun",24/06/2024,24/06/2024,7
IBD030083,"Auto Crash, Abia",24/06/2024,24/06/2024,7
IBD030376,"Kidnap Victim, Edo",24/06/2024,24/06/2024,1
IBD030095,"Auto Crash, Ogun",24/06/2024,24/06/2024,2
IBD030140,"Siblings Kill Man, Oyo",23/06/2024,23/06/2024,1
IBD030073,"Naval School Student, Kaduna",23/06/2024,23/06/2024,1
IBD030097,"Police vs Fun-seeker, Enugu",23/06/2024,23/06/2024,1
IBD030078,"Electrocution, Lagos",23/06/2024,23/06/2024,1
IBD030100,"Communal Clash, Osun",23/06/2024,23/06/2024,1
IBD030081,"Banditary, Kaduna",23/06/2024,23/06/2024,5
IBD030080,"Gunmen Kill 6, Benue",23/06/2024,23/06/2024,3
IBD030067,"Armed Robbery, FCT (Abuja)",22/06/2024,22/06/2024,1
IBD030071,"Banditry, Katsina",22/06/2024,22/06/2024,8
IBD030063,"Naval Officer vs Police Inspector, Lagos",22/06/2024,22/06/2024,1
IBD030068,"Electrocution, Benue",22/06/2024,22/06/2024,1
IBD030075,"Police vs Kidnapper, Akwa Ibom",22/06/2024,22/06/2024,1
IBD030160,"Extra-Judicial Killing, FCT (Abuja)",21/06/2024,21/06/2024,1
IBD030060,"Army vs Bandit, Kaduna",21/06/2024,21/06/2024,30
IBD030072,"Assailants vs Man, Lagos",21/06/2024,21/06/2024,1
IBD030528,"Police vs Man, Lagos",21/06/2024,21/06/2024,1
IBD030069,"Cult Killing, Edo",20/06/2024,20/06/2024,1
IBD030070,"Boat Mishap, Niger",20/06/2024,20/06/2024,2
IBD030049,"Gunmen Kill Man, Ekiti",20/06/2024,20/06/2024,1
IBD030055,"Auto Crash, FCT (Abuja)",20/06/2024,20/06/2024,3
IBD030056,"Police vs Kidnapper, Delta",20/06/2024,20/06/2024,1
IBD030074,"Boat Mishap, Niger",20/06/2024,20/06/2024,2
IBD030054,"Soldier vs Man, FCT (Abuja)",20/06/2024,20/06/2024,1
IBD030050,"Gunmen Kill Hawker, Ekiti",20/06/2024,20/06/2024,1
IBD030058,"Boko Haram, Borno",20/06/2024,20/06/2024,1
IBD030079,"Banditry, Kaduna",20/06/2024,20/06/2024,1
IBD030057,"Assailant vs Mechanic, FCT (Abuja)",20/06/2024,20/06/2024,1
IBD030061,"Soldiers Kill Kidnapper, Kogi",20/06/2024,20/06/2024,1
IBD030062,"Gunmen Kill 1, Ekiti",19/06/2024,19/06/2024,2
IBD030059,"Flood Disaster, Kaduna",19/06/2024,19/06/2024,1
IBD030052,"Medical Negligence, Ogun",19/06/2024,19/06/2024,1
IBD030047,"Mob vs Man, Bauchi",19/06/2024,19/06/2024,1
IBD030053,"Hoodlums vs Vigilantes, Niger",19/06/2024,19/06/2024,1
IBD030041,"Gunmen Attack, Benue",18/06/2024,18/06/2024,6
IBD030032,"Political Violence, Rivers",18/06/2024,18/06/2024,2
IBD030033,"Auto Crash, FCT (Abuja)",18/06/2024,18/06/2024,3
IBD030044,"Vigilante Leader, Kano",18/06/2024,18/06/2024,1
IBD030090,"Auto Crash, Ogun",18/06/2024,18/06/2024,2
IBD030029,"Task Force vs Trader, Plateau",18/06/2024,18/06/2024,1
IBD030040,"Auto Crash, Ogun",18/06/2024,18/06/2024,2
IBD030086,"Medical Quackery, Ogun",18/06/2024,18/06/2024,1
IBD030043,"Electrocution, Kwara",18/06/2024,18/06/2024,1
IBD030028,"Banditry, Kaduna",18/06/2024,18/06/2024,6
IBD030034,"Cult Killing/Political Violence, Rivers",18/06/2024,18/06/2024,1
IBD030030,"Gunmen Kill Ticketer, Ekiti",18/06/2024,18/06/2024,1
IBD030151,"Assailant vs Woman, Edo",17/06/2024,17/06/2024,1
IBD030036,"Mob vs Man, Taraba",17/06/2024,17/06/2024,2
IBD029980,"Army vs Boko Haram, Borno",17/06/2024,17/06/2024,1
IBD030027,"Gunmen Attack, Anambra",17/06/2024,17/06/2024,3
IBD030005,"Gunmen vs Fishermen, Anambra",17/06/2024,17/06/2024,4
IBD030024,"Gunmen Attack, Anambra",17/06/2024,17/06/2024,2
IBD030088,"Auto Crash, Ogun",17/06/2024,17/06/2024,7
IBD030039,"Security Operatives vs Man, Delta",16/06/2024,16/06/2024,1
IBD030014,"Auto Crash, Ogun",16/06/2024,16/06/2024,2
IBD030011,"Gunmen Attack, Sokoto",16/06/2024,16/06/2024,6
IBD030022,"Man vs Wife, Ogun",16/06/2024,16/06/2024,1
IBD030026,"Gunmen vs Businesswoman, Oyo",16/06/2024,16/06/2024,1
IBD030025,"Herders Attack, Taraba",16/06/2024,16/06/2024,14
IBD030023,"Men vs Lady, FCT (Abuja)",16/06/2024,16/06/2024,1
IBD030017,"Auto Crash, Osun",16/06/2024,16/06/2024,3
IBD030730,"Flooding, Kano",16/06/2024,22/06/2024,23
IBD030021,"NAF vs Bandits, Katsina",15/06/2024,15/06/2024,87
IBD030015,"Robbers vs DJ, FCT (Abuja)",15/06/2024,15/06/2024,1
IBD030019,"Police vs Kidnapper, Edo",15/06/2024,15/06/2024,1
IBD030020,"Soldiers vs Bandit, Kaduna",15/06/2024,15/06/2024,3
IBD030142,"Inferno, Kano",15/06/2024,15/06/2024,5
IBD030016,"Man vs Daughter, Delta",15/06/2024,15/06/2024,1
IBD030051,"Banditry, Kaduna",15/06/2024,15/06/2024,4
IBD030045,"Bandits Kills Man, Kaduna",15/06/2024,15/06/2024,1
IBD030048,"Assailants vs Journalist, FCT (Abuja)",14/06/2024,14/06/2024,1
IBD030010,"Herders vs Guards, Benue",14/06/2024,14/06/2024,2
IBD030007,"Man vs Mother, Ondo",14/06/2024,14/06/2024,1
IBD030064,"Gunmen vs Man, Ekiti",14/06/2024,14/06/2024,1
IBD030046,"Kidnap Victim, Benue",13/06/2024,13/06/2024,1
IBD029995,"Banditry, Kaduna",13/06/2024,13/06/2024,36
IBD030035,"Assailant vs Graduate, Edo",13/06/2024,13/06/2024,1
IBD030013,"Found Dead, Ondo",13/06/2024,13/06/2024,2
IBD030031,"Security Guard, Lagos",13/06/2024,13/06/2024,1
IBD030037,"Assailants vs Security Guard, Lagos",13/06/2024,13/06/2024,1
IBD030012,"Assailants vs Man, Oyo",13/06/2024,13/06/2024,1
IBD030002,"Bank Robbers, FCT (Abuja)",13/06/2024,13/06/2024,3
IBD030004,"Auto Crash, Kwara",13/06/2024,13/06/2024,19
IBD030000,"Police Inspector vs Man, Kebbi",13/06/2024,13/06/2024,1
IBD029999,"Landslide, Niger",13/06/2024,13/06/2024,3
IBD030008,"Police vs Bandits, FCT (Abuja)",13/06/2024,13/06/2024,1
IBD030003,"Army vs Bandits, Kaduna",13/06/2024,13/06/2024,6
IBD030082,"Motorcyclist vs Guard, Lagos",13/06/2024,13/06/2024,1
IBD030006,"Man Drowns, Ogun",12/06/2024,12/06/2024,1
IBD029990,"Boko Haram Attack, Niger",12/06/2024,12/06/2024,3
IBD029922,"Car Snatcher, Lagos",12/06/2024,12/06/2024,2
IBD029989,"Police vs IPOB/ESN, Enugu",12/06/2024,12/06/2024,2
IBD029996,"Farmers vs Herders, Niger",12/06/2024,12/06/2024,3
IBD029992,"Building Collapse, Anambra",12/06/2024,12/06/2024,2
IBD029962,"Suspected Kidnapper, Benue",11/06/2024,11/06/2024,1
IBD029988,"NAF Airstrikes, Katsina",11/06/2024,11/06/2024,29
IBD029974,"Windstorm, Kebbi",11/06/2024,11/06/2024,1
IBD029997,"Armed Robbers vs Rider Manager, Bayelsa",11/06/2024,11/06/2024,1
IBD029972,"Windstorm, Kebbi",11/06/2024,11/06/2024,4
IBD029983,"Banditry, Kaduna",11/06/2024,11/06/2024,1
IBD029982,"Security Guard vs Man, Ogun",11/06/2024,11/06/2024,1
IBD029975,"Gunmen Attack, Imo",11/06/2024,11/06/2024,3
IBD029985,"Auto Crash, Enugu",11/06/2024,11/06/2024,4
IBD029960,"Banditry, Kaduna",10/06/2024,10/06/2024,2
IBD029987,"Banditry, Zamfara",10/06/2024,10/06/2024,1
IBD029970,"Mob vs Tricycle Thief, Akwa Ibom",10/06/2024,10/06/2024,1
IBD029964,"Banditry, Katsina",10/06/2024,10/06/2024,28
IBD029998,"Gunmen Attack, Delta",10/06/2024,10/06/2024,1
IBD029971,"Auto Crash, Bayelsa",10/06/2024,10/06/2024,4
IBD029966,"Soldiers vs Bandit, Niger",10/06/2024,10/06/2024,1
IBD029984,"Gunmen Attack, Katsina",10/06/2024,10/06/2024,50
IBD029986,"Army vs Terrorist, Zamfara",10/06/2024,10/06/2024,2
IBD030281,"Graduate, Anambra",09/06/2024,09/06/2024,1
IBD029977,"Corpse Found, Niger",09/06/2024,09/06/2024,2
IBD030018,"Assailant vs Bussinessman, Lagos",09/06/2024,09/06/2024,1
IBD029965,"Soldiers vs Drivers, Kwara",09/06/2024,09/06/2024,1
IBD030210,"Brother vs Dad, Adamawa",09/06/2024,09/06/2024,1
IBD029991,"Vigilante vs Kidnapper, Edo",09/06/2024,09/06/2024,1
IBD029967,"Terrorists Attack, Katsina",09/06/2024,10/06/2024,65
IBD029953,"Troops vs Banditry, Kaduna",09/06/2024,09/06/2024,5
IBD029952,"Army vs IPOB, Abia",08/06/2024,08/06/2024,6
IBD029976,"Banditry, Zamfara",08/06/2024,08/06/2024,2
IBD029954,"Flooding, Niger",08/06/2024,08/06/2024,2
IBD029955,"Banditry, Kaduna",08/06/2024,08/06/2024,2
IBD029958,"Building Collapse, Abia",08/06/2024,08/06/2024,5
IBD030009,"Police vs Kidnapper, Kogi",08/06/2024,08/06/2024,1
IBD029956,"Security Operatives vs Kidnapper, Edo",08/06/2024,08/06/2024,1
IBD029973,"Auto Crash, Lagos",07/06/2024,07/06/2024,4
IBD029950,"Police vs Bandits, Katsina",07/06/2024,07/06/2024,3
IBD029959,"Undergraduate Student, Akwa Ibom",07/06/2024,07/06/2024,1
IBD029949,"Boundary Clash, Abia",07/06/2024,07/06/2024,1
IBD029947,"Gunmen vs Politician, Enugu",07/06/2024,07/06/2024,1
IBD029951,"Banditry, Katsina",06/06/2024,06/06/2024,5
IBD029939,"Banditry, Zamfara",06/06/2024,06/06/2024,12
IBD030038,"Ritual Killings, Ondo",06/06/2024,19/06/2024,10
IBD029946,"Electrocution, Rivers",06/06/2024,06/06/2024,1
IBD030042,"Assailants vs Security Guard, Lagos",06/06/2024,06/06/2024,1
IBD029937,"Construction Workers Drown, Osun",06/06/2024,06/06/2024,2
IBD030553,"Assailants vs Man, Lagos",06/06/2024,06/06/2024,1
IBD029938,"Woman Dies, FCT (Abuja)",06/06/2024,06/06/2024,1
IBD030148,"Man Kill Farmer, Ondo",06/06/2024,06/06/2024,1
IBD029944,"Boko Haram Attack, Niger",06/06/2024,06/06/2024,12
IBD029948,"Hunters vs Teenager, Adamawa",05/06/2024,05/06/2024,1
IBD030932,"ISWAP Attack, Yobe",05/06/2024,05/06/2024,1
IBD029945,"Boko Haram vs Passengers, Borno",05/06/2024,05/06/2024,3
IBD031334,"Kidnap Victim, Rivers",05/06/2024,05/06/2024,1
IBD029929,"Police vs Kidnappers, Plateau",04/06/2024,04/06/2024,2
IBD029934,"Auto Crash, Ebonyi",04/06/2024,04/06/2024,1
IBD029979,"Auto Crash, Anambra",04/06/2024,04/06/2024,2
IBD029933,"Building Demolition, Akwa Ibom",04/06/2024,04/06/2024,2
IBD029932,"Mob vs Motorcycle Thief, FCT (Abuja)",04/06/2024,04/06/2024,2
IBD029918,"Tanker Explosion, Rivers",04/06/2024,04/06/2024,3
IBD029940,"Banditry, Katsina",04/06/2024,04/06/2024,20
IBD029942,"Banditry, Katsina",04/06/2024,06/06/2024,23
IBD029927,"Gunmen Kills Two, Ebonyi",03/06/2024,03/06/2024,2
IBD029919,"Mining Site Collapses, Niger",03/06/2024,03/06/2024,2
IBD029920,"Security Operatives vs Smugglers, Lagos",02/06/2024,02/06/2024,1
IBD029908,"Gunmen vs Monarch, Taraba",02/06/2024,02/06/2024,1
IBD029924,"Army vs Boko Terrorists, Borno",02/06/2024,02/06/2024,6
IBD029915,"Gunmen Attack, Katsina",02/06/2024,02/06/2024,1
IBD029943,"Domestic Violence, Imo",02/06/2024,02/06/2024,1
IBD029906,"Auto Crash, Anambra",02/06/2024,02/06/2024,5
IBD029963,"Domestic Violence, Imo",02/06/2024,02/06/2024,1
IBD029907,"Auto Crash, Ogun",02/06/2024,02/06/2024,1
IBD029931,"Gunmen Kill 5, Plateau",02/06/2024,02/06/2024,5
IBD029914,"Army vs Rustlers, Kaduna",02/06/2024,02/06/2024,2
IBD029911,"Assailants vs Housewife, Kano",02/06/2024,02/06/2024,1
IBD029910,"Auto Crash, Lagos",02/06/2024,02/06/2024,1
IBD029913,"Gang Kill Man, Ondo",01/06/2024,01/06/2024,1
IBD029917,"Landlord Dies, Ogun",01/06/2024,01/06/2024,1
IBD029898,"Auto Crash, Bauchi",01/06/2024,01/06/2024,2
IBD029901,"Rainstorm Kills 4, Bauchi",01/06/2024,01/06/2024,4
IBD029902,"Woman vs Husband, Ondo",01/06/2024,01/06/2024,1
IBD030001,"Kidnap Victim, Ebonyi",01/06/2024,01/06/2024,1
IBD029936,"Assailants Kills One, Delta",01/06/2024,01/06/2024,1
IBD029900,"Auto Crash, Anambra",31/05/2024,31/05/2024,1
IBD029916,"Police vs Armed Robber, Delta",31/05/2024,31/05/2024,1
IBD029896,"Youth vs Vigilante, Rivers",31/05/2024,31/05/2024,1
IBD029887,"Gunmen Attack, Imo",30/05/2024,30/05/2024,2
IBD029888,"Banditry, Zamfara",30/05/2024,30/05/2024,1
IBD029883,"IPOB vs Army, Abia",30/05/2024,30/05/2024,11
IBD029903,"Cult Clash, Edo",30/05/2024,30/05/2024,3
IBD029897,"Electrocution, Benue",30/05/2024,30/05/2024,1
IBD029899,"Fulani Militants, Benue",30/05/2024,30/05/2024,20
IBD029885,"Auto Crash, Lagos",30/05/2024,30/05/2024,1
IBD029925,"NAF vs Bandits, Kaduna",30/05/2024,31/05/2024,40
IBD029904,"Hoodlums vs Cyclist, FCT (Abuja)",30/05/2024,30/05/2024,1
IBD029894,"Banditry, Katsina",30/05/2024,30/05/2024,17
IBD029891,"Electrocution, Rivers",30/05/2024,30/05/2024,1
IBD029892,"Police vs Kidnapper, Sokoto",29/05/2024,29/05/2024,1
IBD029881,"Banditry, Kaduna",29/05/2024,29/05/2024,12
IBD029878,"Police vs Kidnappers, Benue",29/05/2024,29/05/2024,3
IBD029884,"Troops vs Bandits, Kaduna",29/05/2024,29/05/2024,6
IBD029872,"Police vs Kidnappers, Kogi",28/05/2024,28/05/2024,2
IBD029875,"Policeman Kill 2, Ekiti",28/05/2024,28/05/2024,2
IBD029912,"Gunmen Attack, Nasarawa",28/05/2024,28/05/2024,1
IBD029879,"Boko Haram Attack, Borno",28/05/2024,28/05/2024,33
IBD029893,"Auto Crash, Lagos",28/05/2024,28/05/2024,1
IBD029889,"Policeman vs Driver, Bayelsa",27/05/2024,27/05/2024,1
IBD029869,"Motorcyclist vs Police, Lagos",27/05/2024,27/05/2024,2
IBD029877,"NAF Airstrikes, Katsina",27/05/2024,27/05/2024,30
IBD030351,"Man vs Minor, Oyo",27/05/2024,27/05/2024,1
IBD029876,"Banditry, Kaduna",26/05/2024,26/05/2024,3
